Question,Company,Category,Complexity,Experience Level,Years of Experience
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Group PM,1-2 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Director,8+ years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,Principal PM,1-2 years
How do you prioritize customer feedback when working at Meta?,Meta,Foundation,Simple,Principal PM,2-3 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Principal PM,0-1 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Group PM,2-3 years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Group PM,8+ years
Explain your strategy to enter a new market in a medium environment.,"Amazon, Google, Microsoft, Apple, Meta",Strategic,Simple,Senior PM,5-8 years
Describe how you would improve customer retention for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,Group PM,8+ years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Senior PM,5-8 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Group PM,8+ years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Principal PM,1-2 years
How would you approach a failing product at Apple?,Apple,Behavioral,Medium,Group PM,1-2 years
How would you approach high churn rate at Apple?,Apple,Leadership,Simple,Director,3-5 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Medium,Director,8+ years
How do you prioritize feature backlog when working at Netflix?,Netflix,Leadership,Simple,Group PM,8+ years
Explain your strategy to enter a new market in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta",Strategic,Complex,Director,0-1 years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,PM,5-8 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Principal PM,0-1 years
How would you handle conflicting priorities as a PM at Apple?,Apple,Foundation,Complex,Senior PM,1-2 years
What would be your plan to reduce churn at Google?,Google,Execution,Simple,PM,1-2 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,PM,0-1 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Director,8+ years
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Senior PM,5-8 years
Describe how you would improve customer retention for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Medium,Group PM,0-1 years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Director,1-2 years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Group PM,8+ years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Principal PM,2-3 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,2-3 years
Describe how you would enter a new market for Microsoft.,Microsoft,Metrics,Complex,PM,2-3 years
How would you handle technical debt as a PM at Uber?,Uber,Leadership,Medium,PM,1-2 years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,Senior PM,2-3 years
Design a product to reduce churn for Netflix.,Netflix,Foundation,Complex,Principal PM,1-2 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Group PM,1-2 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Principal PM,5-8 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,PM,1-2 years
How do you prioritize roadmap planning when working at Airbnb?,Airbnb,Strategic,Medium,Director,8+ years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,PM,1-2 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Principal PM,8+ years
What would be your plan to improve NPS at Amazon?,Amazon,Strategic,Simple,Group PM,0-1 years
Describe how you would sunset a product for Airbnb.,Airbnb,Strategic,Complex,PM,0-1 years
Describe how you would improve customer retention for Google.,Google,Leadership,Simple,Director,3-5 years
How would you handle tight deadlines as a PM at Apple?,Apple,Technical,Simple,Senior PM,0-1 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Senior PM,5-8 years
Explain your strategy to sunset a product in a simple environment.,"Amazon, Google, Microsoft, Apple, Meta",Foundation,Complex,Group PM,1-2 years
How do you prioritize cross-team dependencies when working at Amazon?,Amazon,Foundation,Complex,Group PM,2-3 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,PM,3-5 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Senior PM,2-3 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Group PM,5-8 years
How would you approach rapid growth at Netflix?,Netflix,Behavioral,Complex,Principal PM,1-2 years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Principal PM,5-8 years
How would you handle cross-functional alignment as a PM at Netflix?,Netflix,Foundation,Complex,PM,8+ years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Group PM,5-8 years
How would you approach rapid growth at Google?,Google,Customer Obsession,Simple,Principal PM,3-5 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,PM,8+ years
Describe how you would scale an MVP for Uber.,Uber,Technical,Complex,Principal PM,1-2 years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,Director,8+ years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Senior PM,0-1 years
How would you handle tight deadlines as a PM at Meta?,Meta,Foundation,Complex,Senior PM,5-8 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,Senior PM,2-3 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Principal PM,8+ years
How would you approach a major product launch at Microsoft?,Microsoft,Execution,Medium,Group PM,3-5 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Senior PM,0-1 years
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Director,1-2 years
How would you approach high churn rate at Salesforce?,Salesforce,Strategic,Complex,Director,1-2 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Senior PM,3-5 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Medium,Principal PM,2-3 years
How would you handle customer complaints as a PM at Microsoft?,Microsoft,Technical,Simple,Principal PM,0-1 years
How would you approach a failing product at Microsoft?,Microsoft,Metrics,Simple,Senior PM,0-1 years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,PM,2-3 years
How do you prioritize cross-team dependencies when working at Meta?,Meta,Technical,Complex,Director,2-3 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,PM,3-5 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Simple,Senior PM,3-5 years
How would you approach a failing product at Stripe?,Stripe,Metrics,Simple,Principal PM,0-1 years
How would you approach declining engagement at Uber?,Uber,Behavioral,Simple,Principal PM,5-8 years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,PM,8+ years
Design a product to grow market share for Salesforce.,Salesforce,Growth,Simple,Senior PM,3-5 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Simple,Group PM,1-2 years
How would you handle cross-functional alignment as a PM at Meta?,Meta,Metrics,Simple,PM,0-1 years
Design a product to increase user engagement for Stripe.,Stripe,Execution,Simple,Group PM,0-1 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,3-5 years
Describe how you would launch a new feature for Stripe.,Stripe,Growth,Simple,PM,0-1 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Medium,Senior PM,8+ years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Senior PM,3-5 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,Director,2-3 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Senior PM,3-5 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,PM,8+ years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Director,8+ years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,PM,0-1 years
What would be your plan to enhance customer satisfaction at Apple?,Apple,Execution,Complex,Group PM,1-2 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,PM,2-3 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Principal PM,1-2 years
How do you prioritize feature backlog when working at Salesforce?,Salesforce,Foundation,Simple,Principal PM,2-3 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Senior PM,3-5 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Simple,PM,8+ years
